"Drug Name and FDA Appl. #","Suppl. #","Active Ingredients","Company","Approval Type","Approval Date"
"ATRIPLA (NDA #021937)","031","EFAVIRENZ; EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE","GILEAD","Labeling Revision","10/23/2013"
"LAMISIL (NDA #022071)","010","TERBINAFINE HYDROCHLORIDE","NOVARTIS","Labeling Revision","10/23/2013"
"VIREAD (NDA #022577)","006","TENOFOVIR DISOPROXIL FUMARATE","GILEAD SCIENCES INC","Labeling Revision","10/23/2013"
"ADRIAMYCIN PFS (NDA #050629)","024","DOXORUBICIN HYDROCHLORIDE","PHARMACIA AND UPJOHN","Manufacturing Change or Addition","10/23/2013"
"KINERET (BLA #103950)","5150","ANAKINRA","BIOVITRUM AB","Labeling Revision","10/23/2013"
"COMPLERA (NDA #202123)","015","EMTRICITABINE; RILPIVIRINE HYDROCHLORIDE; TENOFOVIR DISOPROXIL FUMARATE","GILEAD SCIENCES INC","Labeling Revision","10/23/2013"
"STRIBILD (NDA #203100)","009","COBICISTAT; ELVITEGRAVIR; EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE","GILEAD SCIENCES INC","Labeling Revision","10/23/2013"
"AMINOHIPPURATE SODIUM (NDA #005619)","024","AMINOHIPPURATE SODIUM","MERCK","Manufacturing Change or Addition","10/24/2013"
"XYLOCAINE (NDA #008816)","038","LIDOCAINE HYDROCHLORIDE","OAK PHARMS","Manufacturing Change or Addition","10/24/2013"
"FLAGYL I.V. RTU IN PLASTIC CONTAINER (NDA #018657)","032","METRONIDAZOLE","BAXTER HLTHCARE","Labeling Revision","10/24/2013"
"INNOPRAN XL (NDA #021438)","017","PROPRANOLOL HYDROCHLORIDE","GLAXOSMITHKLINE LLC","Manufacturing Change or Addition","10/24/2013"
"NAMENDA (NDA #021487)","010","MEMANTINE HYDROCHLORIDE","FOREST LABS","Labeling Revision","10/24/2013"
"NAMENDA (NDA #021487)","012","MEMANTINE HYDROCHLORIDE","FOREST LABS","Labeling Revision","10/24/2013"
"NAMENDA (NDA #021487)","014","MEMANTINE HYDROCHLORIDE","FOREST LABS","Labeling Revision","10/24/2013"
"NAMENDA (NDA #021627)","008","MEMANTINE HYDROCHLORIDE","FOREST LABS","Labeling Revision","10/24/2013"
"ISENTRESS (NDA #022145)","030","RALTEGRAVIR POTASSIUM","MERCK SHARP DOHME","Labeling Revision","10/24/2013"
"BIAXIN (NDA #050698)","034","CLARITHROMYCIN","ABBVIE","Manufacturing Change or Addition","10/24/2013"
"TOBI (NDA #050753)","015","TOBRAMYCIN","NOVARTIS PHARMS","Manufacturing Change or Addition","10/24/2013"
"HALAVEN (NDA #201532)","008","ERIBULIN MESYLATE","EISAI INC","Manufacturing Change or Addition","10/24/2013"
"ISENTRESS (NDA #203045)","008","RALTEGRAVIR POTASSIUM","MERCK SHARP DOHME","Labeling Revision","10/24/2013"
"ECOZA (NDA #205175)","000","ECONAZOLE NITRATE","VELDANA MEDICAL SA","Approval","10/24/2013"
"RITALIN (NDA #010187)","075","METHYLPHENIDATE HYDROCHLORIDE","NOVARTIS","Manufacturing Change or Addition","10/25/2013"
"RITALIN-SR (NDA #018029)","045","METHYLPHENIDATE HYDROCHLORIDE","NOVARTIS","Manufacturing Change or Addition","10/25/2013"
"CALAN (NDA #018817)","031","VERAPAMIL HYDROCHLORIDE","GD SEARLE LLC","Labeling Revision","10/25/2013"
"ZOCOR (NDA #019766)","090","SIMVASTATIN","MERCK","Labeling Revision","10/25/2013"
"ACCUPRIL (NDA #019885)","039","QUINAPRIL HYDROCHLORIDE","PFIZER PHARMS","Labeling Revision","10/25/2013"
"ALTACE (NDA #019901)","063","RAMIPRIL","KING PHARMS","Labeling Revision","10/25/2013"
"ACCURETIC (NDA #020125)","017","HYDROCHLOROTHIAZIDE; QUINAPRIL HYDROCHLORIDE","PFIZER PHARMS","Labeling Revision","10/25/2013"
"ZYPREXA (NDA #020592)","066","OLANZAPINE","LILLY","Manufacturing Change or Addition","10/25/2013"
"RITALIN LA (NDA #021284)","021","METHYLPHENIDATE HYDROCHLORIDE","NOVARTIS","Manufacturing Change or Addition","10/25/2013"
"VYTORIN (NDA #021687)","048","EZETIMIBE; SIMVASTATIN","MSD INTL","Labeling Revision","10/25/2013"
"APRISO (NDA #022301)","004","MESALAMINE","SALIX PHARMS","Manufacturing Change or Addition","10/25/2013"
"ZALTRAP (BLA #125418)","020","ZIV-AFLIBERCEPT","SANOFI AVENTIS US","Labeling Revision","10/25/2013"
"AMYVID (NDA #202008)","018","FLORBETAPIR F-18","AVID RADIOPHARMS INC","Manufacturing Change or Addition","10/25/2013"
"RAYOS (NDA #202020)","004","PREDNISONE","HORIZON PHARMA","Manufacturing Change or Addition","10/25/2013"
"JUVISYNC (NDA #202343)","008","SIMVASTATIN; SITAGLIPTIN PHOSPHATE","MERCK SHARP DOHME","Labeling Revision","10/25/2013"
"ZOHYDRO ER (NDA #202880)","000","HYDROCODONE BITARTRATE","ZOGENIX INC","Approval","10/25/2013"
"VIZAMYL (NDA #203137)","000","FLUTEMETAMOL F-18","GE HEALTHCARE","Approval","10/25/2013"
"SABRIL (NDA #020427)","010","VIGABATRIN","LUNDBECK LLC","Labeling Revision","10/26/2013"
"SABRIL (NDA #020427)","011","VIGABATRIN","LUNDBECK LLC","Efficacy Supplement with Clinical Data to Support","10/26/2013"
"SABRIL (NDA #020427)","012","VIGABATRIN","LUNDBECK LLC","Labeling Revision","10/26/2013"
"SABRIL (NDA #022006)","011","VIGABATRIN","LUNDBECK LLC","Labeling Revision","10/26/2013"
"SABRIL (NDA #022006)","012","VIGABATRIN","LUNDBECK LLC","Efficacy Supplement with Clinical Data to Support","10/26/2013"
"SABRIL (NDA #022006)","013","VIGABATRIN","LUNDBECK LLC","Efficacy Supplement with Clinical Data to Support","10/26/2013"
"CALAN SR (NDA #019152)","038","VERAPAMIL HYDROCHLORIDE","PFIZER","Labeling Revision","10/28/2013"
"COMMIT (NDA #021330)","016","NICOTINE POLACRILEX","GLAXOSMITHKLINE CONS","Labeling Revision","10/28/2013"
"NICORETTE (NDA #022360)","007","NICOTINE POLACRILEX","GLAXOSMITHKLINE CONS","Labeling Revision","10/28/2013"
"DICLOFENAC SODIUM (ANDA #200936)","000","DICLOFENAC SODIUM","TOLMAR","Approval","10/28/2013"
"INCIVEK (NDA #201917)","010","TELAPREVIR","VERTEX PHARMS","Efficacy Supplement with Clinical Data to Support","10/28/2013"
"INCIVEK (NDA #201917)","012","TELAPREVIR","VERTEX PHARMS","Labeling Revision","10/28/2013"
"XYLOCAINE (NDA #006488)","079","LIDOCAINE HYDROCHLORIDE","FRESENIUS KABI USA","Manufacturing Change or Addition","10/29/2013"
"XYLOCAINE W/ EPINEPHRINE (NDA #006488)","079","EPINEPHRINE; LIDOCAINE HYDROCHLORIDE","FRESENIUS KABI USA","Manufacturing Change or Addition","10/29/2013"
"NIZORAL (NDA #019927)","032","KETOCONAZOLE","JANSSEN PHARMS","Labeling Revision","10/29/2013"
"SEROQUEL (NDA #020639)","061","QUETIAPINE FUMARATE","ASTRAZENECA","Labeling Revision","10/29/2013"
"DIOVAN (NDA #020665)","033","VALSARTAN","NOVARTIS","Labeling Revision","10/29/2013"
"LEXIVA (NDA #021548)","033","FOSAMPRENAVIR CALCIUM","VIIV HLTHCARE","Manufacturing Change or Addition","10/29/2013"
"SEROQUEL XR (NDA #022047)","034","QUETIAPINE FUMARATE","ASTRAZENECA","Labeling Revision","10/29/2013"
"HORIZANT (NDA #022399)","009","GABAPENTIN ENACARBIL","XENOPORT INC","Manufacturing Change or Addition","10/29/2013"
"CLONIDINE HYDROCHLORIDE (ANDA #203167)","000","CLONIDINE HYDROCHLORIDE","EXELA PHARMA SCS LLC","Approval","10/29/2013"
"LISINOPRIL (ANDA #203508)","000","LISINOPRIL","INVAGEN PHARMS","Approval","10/29/2013"
"ACYCLOVIR (ANDA #203834)","000","ACYCLOVIR","HETERO LABS LTD V","Approval","10/29/2013"
"EURAX (NDA #006927)","033","CROTAMITON","RANBAXY","Manufacturing Change or Addition","10/30/2013"
"NORINYL 1+50 28-DAY (NDA #016659)","137","MESTRANOL; NORETHINDRONE","WATSON LABS","Manufacturing Change or Addition","10/30/2013"
"NICORETTE (NDA #018612)","068","NICOTINE POLACRILEX","GLAXOSMITHKLINE","Labeling Revision","10/30/2013"
"NICORETTE (MINT) (NDA #018612)","068","NICOTINE POLACRILEX","GLAXOSMITHKLINE","Labeling Revision","10/30/2013"
"LUPRON (NDA #019943)","034","LEUPROLIDE ACETATE","ABBOTT LABS","Labeling Revision","10/30/2013"
"LUPRON DEPOT (NDA #020011)","041","LEUPROLIDE ACETATE","ABBVIE ENDOCRINE INC","Labeling Revision","10/30/2013"
"NICORETTE (NDA #020066)","049","NICOTINE POLACRILEX","GLAXOSMITHKLINE","Labeling Revision","10/30/2013"
"NICORETTE (MINT) (NDA #020066)","049","NICOTINE POLACRILEX","GLAXOSMITHKLINE","Labeling Revision","10/30/2013"
"CEREZYME (NDA #020367)","089","IMIGLUCERASE","GENZYME","Manufacturing Change or Addition","10/30/2013"
"LUPRON DEPOT (NDA #020708)","034","LEUPROLIDE ACETATE","ABBVIE ENDOCRINE INC","Labeling Revision","10/30/2013"
"GLEEVEC (NDA #021588)","039","IMATINIB MESYLATE","NOVARTIS","Labeling Revision","10/30/2013"
"ABRAXANE (NDA #021660)","038","PACLITAXEL","ABRAXIS BIOSCIENCE","Labeling Revision","10/30/2013"
"NEXAVAR (NDA #021923)","015","SORAFENIB TOSYLATE","BAYER HLTHCARE","Labeling Revision","10/30/2013"
"SAVELLA (NDA #022256)","014","MILNACIPRAN HYDROCHLORIDE","CYPRESS BIOSCIENCE","Labeling Revision","10/30/2013"
"SAVELLA (NDA #022256)","015","MILNACIPRAN HYDROCHLORIDE","CYPRESS BIOSCIENCE","Labeling Revision","10/30/2013"
"BRILINTA (NDA #022433)","009","TICAGRELOR","ASTRAZENECA LP","Efficacy Supplement with Clinical Data to Support","10/30/2013"
"ZUPLENZ (NDA #022524)","002","ONDANSETRON","VESTIQ PHARMS","Labeling Revision","10/30/2013"
"CHOLINE C-11 (NDA #203155)","002","CHOLINE C-11","MCPRF","Manufacturing Change or Addition","10/30/2013"
"LUPANETA PACK (NDA #203696)","001","LEUPROLIDE ACETATE; NORETHINDRONE ACETATE","ABBVIE ENDOCRINE","Labeling Revision","10/30/2013"
"MORPHINE SULFATE (NDA #204223)","000","MORPHINE SULFATE","BD RX","Approval","10/30/2013"
"DEXTROSE 5% IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER (NDA #016683)","101","DEXTROSE; SODIUM CHLORIDE","BAXTER HLTHCARE","Manufacturing Change or Addition","10/31/2013"
"KLONOPIN (NDA #017533)","053","CLONAZEPAM","ROCHE","Labeling Revision","10/31/2013"
"LOPID (NDA #018422)","053","GEMFIBROZIL","PFIZER PHARMS","Labeling Revision","10/31/2013"
"NICODERM CQ (NDA #020165)","031","NICOTINE","SANOFI AVENTIS US","Labeling Revision","10/31/2013"
"KLONOPIN RAPIDLY DISINTEGRATING (NDA #020813)","009","CLONAZEPAM","ROCHE","Labeling Revision","10/31/2013"
"UVADEX (NDA #020969)","006","METHOXSALEN","THERAKOS","Labeling Revision","10/31/2013"
"NOVOLOG (NDA #020986)","061","INSULIN ASPART RECOMBINANT","NOVO NORDISK INC","Labeling Revision","10/31/2013"
"NOVOLOG FLEXPEN (NDA #020986)","061","INSULIN ASPART RECOMBINANT","NOVO NORDISK INC","Labeling Revision","10/31/2013"
"NOVOLOG FLEXTOUCH (NDA #020986)","061","INSULIN ASPART RECOMBINANT","NOVO NORDISK INC","Labeling Revision","10/31/2013"
"NOVOLOG INNOLET (NDA #020986)","061","INSULIN ASPART RECOMBINANT","NOVO NORDISK INC","Labeling Revision","10/31/2013"
"NOVOLOG PENFILL (NDA #020986)","061","INSULIN ASPART RECOMBINANT","NOVO NORDISK INC","Labeling Revision","10/31/2013"
"FUZEON (NDA #021481)","027","ENFUVIRTIDE","ROCHE","Labeling Revision","10/31/2013"
"LEVEMIR (NDA #021536)","033","INSULIN DETEMIR RECOMBINANT","NOVO NORDISK INC","Labeling Revision","10/31/2013"
"LEVEMIR FLEXPEN (NDA #021536)","033","INSULIN DETEMIR RECOMBINANT","NOVO NORDISK INC","Labeling Revision","10/31/2013"
"LEVEMIR FLEXTOUCH (NDA #021536)","033","INSULIN DETEMIR RECOMBINANT","NOVO NORDISK INC","Labeling Revision","10/31/2013"
"LEVEMIR INNOLET (NDA #021536)","033","INSULIN DETEMIR RECOMBINANT","NOVO NORDISK INC","Labeling Revision","10/31/2013"
"LEVEMIR PENFILL (NDA #021536)","033","INSULIN DETEMIR RECOMBINANT","NOVO NORDISK INC","Labeling Revision","10/31/2013"
"ACZONE (NDA #021794)","010","DAPSONE","ALLERGAN","Manufacturing Change or Addition","10/31/2013"
"PREZISTA (NDA #021976)","032","DARUNAVIR ETHANOLATE","JANSSEN PRODS","Manufacturing Change or Addition","10/31/2013"
"NUCYNTA (NDA #022304)","014","TAPENTADOL HYDROCHLORIDE","JANSSEN PHARMS","Labeling Revision","10/31/2013"
"NUCYNTA (NDA #022304)","015","TAPENTADOL HYDROCHLORIDE","JANSSEN PHARMS","Labeling Revision","10/31/2013"
"DUEXIS (NDA #022519)","006","FAMOTIDINE; IBUPROFEN","HORIZON PHARMA","Labeling Revision","10/31/2013"
"ADRIAMYCIN RDF (NDA #050467)","073","DOXORUBICIN HYDROCHLORIDE","PHARMACIA AND UPJOHN","Labeling Revision","10/31/2013"
"ADRIAMYCIN PFS (NDA #050629)","022","DOXORUBICIN HYDROCHLORIDE","PHARMACIA AND UPJOHN","Labeling Revision","10/31/2013"
"E.E.S. 200 (ANDA #061639)","032","ERYTHROMYCIN ETHYLSUCCINATE","ARBOR PHARMS INC","Labeling Revision","10/31/2013"
"E.E.S. 400 (ANDA #061639)","032","ERYTHROMYCIN ETHYLSUCCINATE","ARBOR PHARMS INC","Labeling Revision","10/31/2013"
"E.E.S. 400 (ANDA #061905)","049","ERYTHROMYCIN ETHYLSUCCINATE","ARBOR PHARMS INC","Labeling Revision","10/31/2013"
"TOLTERODINE TARTRATE (ANDA #201486)","000","TOLTERODINE TARTRATE","MYLAN PHARMS INC","Approval","10/31/2013"
"ELIQUIS (NDA #202155)","004","APIXABAN","BRISTOL MYERS SQUIBB","Labeling Revision","10/31/2013"
"VANCOMYCIN HYDROCHLORIDE (ANDA #202274)","000","VANCOMYCIN HYDROCHLORIDE","EMCURE PHARMS LTD","Approval","10/31/2013"
"VANCOMYCIN HYDROCHLORIDE (ANDA #202275)","000","VANCOMYCIN HYDROCHLORIDE","EMCURE PHARMS LTD","Approval","10/31/2013"
"EFAVIRENZ; EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE (ANDA #203053)","000","EFAVIRENZ; EMTRICITABINE; TENOFOVIR DISOPROXIL FUMARATE","HETERO LABS LTD V","Tentative Approval","10/31/2013"
"PROCYSBI (NDA #203389)","003","CYSTEAMINE BITARTRATE","RAPTOR PHARMS","Manufacturing Change or Addition","10/31/2013"
"EVOXAC (NDA #020989)","012","CEVIMELINE HYDROCHLORIDE","DAIICHI SANKYO","Manufacturing Change or Addition","11/01/2013"
"EXJADE (NDA #021882)","018","DEFERASIROX","NOVARTIS","Manufacturing Change or Addition","11/01/2013"
"EMBEDA (NDA #022321)","013","MORPHINE SULFATE; NALTREXONE HYDROCHLORIDE","ALPHARMA PHARMS","Manufacturing Change or Addition","11/01/2013"
"LATISSE (NDA #022369)","009","BIMATOPROST","ALLERGAN","Manufacturing Change or Addition","11/01/2013"
"BELVIQ (NDA #022529)","002","LORCASERIN HYDROCHLORIDE","EISAI INC","Manufacturing Change or Addition","11/01/2013"
"GAZYVA (BLA #125486)","000","OBINUTUZUMAB","GENENTECH","Approval","11/01/2013"
"FURADANTIN (NDA #009175)","036","NITROFURANTOIN","SHIONOGI INC","Labeling Revision","11/04/2013"
"MINIPRESS (NDA #017442)","041","PRAZOSIN HYDROCHLORIDE","PFIZER","Labeling Revision","11/04/2013"
"ALTACE (NDA #019901)","062","RAMIPRIL","KING PHARMS","Labeling Revision","11/04/2013"
"REVLIMID (NDA #021880)","038","LENALIDOMIDE","CELGENE","Labeling Revision","11/04/2013"
"TEKTURNA (NDA #021985)","025","ALISKIREN HEMIFUMARATE","NOVARTIS","Labeling Revision","11/04/2013"
"TEKTURNA HCT (NDA #022107)","023","ALISKIREN HEMIFUMARATE; HYDROCHLOROTHIAZIDE","NOVARTIS","Labeling Revision","11/04/2013"
"TEKAMLO (NDA #022545)","014","ALISKIREN HEMIFUMARATE; AMLODIPINE BESYLATE","NOVARTIS","Labeling Revision","11/04/2013"
"AMTURNIDE (NDA #200045)","014","ALISKIREN HEMIFUMARATE; AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE","NOVARTIS","Labeling Revision","11/04/2013"
"DOCETAXEL (NDA #203551)","001","DOCETAXEL","ACTAVIS INC","Labeling Revision","11/04/2013"
"PAREMYD (NDA #019261)","013","HYDROXYAMPHETAMINE HYDROBROMIDE; TROPICAMIDE","AKORN","Manufacturing Change or Addition","11/05/2013"
"ZESTRIL (NDA #019777)","063","LISINOPRIL","ASTRAZENECA","Labeling Revision","11/05/2013"
"ZESTORETIC (NDA #019888)","055","HYDROCHLOROTHIAZIDE; LISINOPRIL","ASTRAZENECA","Labeling Revision","11/05/2013"
"FINASTERIDE (ANDA #076905)","000","FINASTERIDE","TEVA","Approval","11/05/2013"
"FINASTERIDE (ANDA #078161)","000","FINASTERIDE","MYLAN PHARMS INC","Approval","11/05/2013"
"FINASTERIDE (ANDA #078371)","000","FINASTERIDE","ACTAVIS TOTOWA","Approval","11/05/2013"
"PARICALCITOL (ANDA #091583)","000","PARICALCITOL","TEVA PHARMS USA","Tentative Approval","11/05/2013"
"FINASTERIDE (ANDA #091643)","000","FINASTERIDE","ACCORD HLTHCARE INC","Approval","11/05/2013"
"FINASTERIDE (ANDA #203687)","000","FINASTERIDE","AUROBINDO PHARMA LTD","Approval","11/05/2013"
"BUPIVACAINE HYDROCHLORIDE PRESERVATIVE FREE (ANDA #203895)","000","BUPIVACAINE HYDROCHLORIDE","AUROBINDO PHARMA LTD","Approval","11/05/2013"
"ARALEN (NDA #006002)","043","CHLOROQUINE PHOSPHATE","SANOFI AVENTIS US","Labeling Revision","11/06/2013"
"ARALEN HYDROCHLORIDE (NDA #006002)","043","CHLOROQUINE HYDROCHLORIDE","SANOFI AVENTIS US","Labeling Revision","11/06/2013"
"LACTATED RINGER'S AND DEXTROSE 5% IN PLASTIC CONTAINER (NDA #016679)","106","CALCIUM CHLORIDE; DEXTROSE; POTASSIUM CHLORIDE; SODIUM CHLORIDE; SODIUM LACTATE","BAXTER HLTHCARE","Manufacturing Change or Addition","11/06/2013"
"CARDURA (NDA #019668)","026","DOXAZOSIN MESYLATE","PFIZER","Labeling Revision","11/06/2013"
"REPRONEX (NDA #021047)","013","MENOTROPINS (FSH;LH)","FERRING","Manufacturing Change or Addition","11/06/2013"
"RAPAMUNE (NDA #021110)","069","SIROLIMUS","PF PRISM CV","Manufacturing Change or Addition","11/06/2013"
"AFINITOR (NDA #022334)","022","EVEROLIMUS","NOVARTIS","Efficacy Supplement with Clinical Data to Support","11/06/2013"
"PREVPAC (NDA #050757)","017","AMOXICILLIN; CLARITHROMYCIN; LANSOPRAZOLE","TAKEDA PHARMS USA","Labeling Revision","11/06/2013"
"REMICADE (BLA #103772)","5359","INFLIXIMAB","CENTOCOR INC","Labeling Revision","11/06/2013"
"DOCETAXEL (NDA #201195)","005","DOCETAXEL","ACCORD HLTHCARE","Manufacturing Change or Addition","11/06/2013"
"FULYZAQ (NDA #202292)","001","CROFELEMER","SALIX PHARMS","Manufacturing Change or Addition","11/06/2013"
"SILDENAFIL CITRATE (ANDA #202659)","000","SILDENAFIL CITRATE","HETERO LABS LTD V","Tentative Approval","11/06/2013"
"NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL (ANDA #202771)","000","ETHINYL ESTRADIOL; NORETHINDRONE ACETATE","FAMY CARE LTD","Approval","11/06/2013"
"METOPROLOL TARTRATE AND HYDROCHLOROTHIAZIDE (ANDA #202870)","000","HYDROCHLOROTHIAZIDE; METOPROLOL TARTRATE","ALEMBIC PHARMS LTD","Approval","11/06/2013"
"AFINITOR DISPERZ (NDA #203985)","003","EVEROLIMUS","NOVARTIS PHARM","Efficacy Supplement with Clinical Data to Support","11/06/2013"
"HUMULIN N (NDA #018781)","118","INSULIN SUSP ISOPHANE RECOMBINANT HUMAN","LILLY","Labeling Revision","11/07/2013"
"HUMULIN N (NDA #018781)","122","INSULIN SUSP ISOPHANE RECOMBINANT HUMAN","LILLY","Labeling Revision","11/07/2013"
"HUMULIN 70/30 (NDA #019717)","098","INSULIN RECOMBINANT HUMAN; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN","LILLY","Labeling Revision","11/07/2013"
"HUMULIN 70/30 (NDA #019717)","101","INSULIN RECOMBINANT HUMAN; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN","LILLY","Labeling Revision","11/07/2013"
"HUMULIN 70/30 PEN (NDA #019717)","098","INSULIN RECOMBINANT HUMAN; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN","LILLY","Labeling Revision","11/07/2013"
"HUMULIN 70/30 PEN (NDA #019717)","101","INSULIN RECOMBINANT HUMAN; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN","LILLY","Labeling Revision","11/07/2013"
"MAGNESIUM SULFATE IN PLASTIC CONTAINER (NDA #020309)","020","MAGNESIUM SULFATE","HOSPIRA","Manufacturing Change or Addition","11/07/2013"
"ZANAFLEX (NDA #020397)","026","TIZANIDINE HYDROCHLORIDE","ACORDA","Labeling Revision","11/07/2013"
"NORVIR (NDA #020659)","058","RITONAVIR","ABBVIE","Labeling Revision","11/07/2013"
"ACTIQ (NDA #020747)","037","FENTANYL CITRATE","CEPHALON","Labeling Revision","11/07/2013"
"NORVIR (NDA #020945)","036","RITONAVIR","ABBVIE","Labeling Revision","11/07/2013"
"RELPAX (NDA #021016)","025","ELETRIPTAN HYDROBROMIDE","PFIZER IRELAND","Manufacturing Change or Addition","11/07/2013"
"KALETRA (NDA #021226)","038","LOPINAVIR; RITONAVIR","ABBVIE","Labeling Revision","11/07/2013"
"KALETRA (NDA #021251)","046","LOPINAVIR; RITONAVIR","ABBVIE","Labeling Revision","11/07/2013"
"ZANAFLEX (NDA #021447)","011","TIZANIDINE HYDROCHLORIDE","ACORDA","Labeling Revision","11/07/2013"
"CADUET (NDA #021540)","030","AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM","PFIZER","Labeling Revision","11/07/2013"
"CADUET (NDA #021540)","031","AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM","PFIZER","Labeling Revision","11/07/2013"
"PLIAGLIS (NDA #021717)","005","LIDOCAINE; TETRACAINE","GALDERMA LABS LP","Labeling Revision","11/07/2013"
"FOSAMAX PLUS D (NDA #021762)","018","ALENDRONATE SODIUM; CHOLECALCIFEROL","MERCK","Labeling Revision","11/07/2013"
"KALETRA (NDA #021906)","039","LOPINAVIR; RITONAVIR","ABBVIE","Labeling Revision","11/07/2013"
"FENTORA (NDA #021947)","017","FENTANYL CITRATE","CEPHALON","Efficacy Supplement with Clinical Data to Support","11/07/2013"
"PREZISTA (NDA #021976)","033","DARUNAVIR ETHANOLATE","JANSSEN PRODS","Labeling Revision","11/07/2013"
"XYZAL (NDA #022064)","028","LEVOCETIRIZINE DIHYDROCHLORIDE","UCB INC","Labeling Revision","11/07/2013"
"XYZAL (NDA #022157)","012","LEVOCETIRIZINE DIHYDROCHLORIDE","UCB INC","Labeling Revision","11/07/2013"
"TACLONEX (NDA #022185)","015","BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE HYDRATE","LEO PHARMA AS","Manufacturing Change or Addition","11/07/2013"
"TACLONEX (NDA #022185)","016","BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE HYDRATE","LEO PHARMA AS","Labeling Revision","11/07/2013"
"ONSOLIS (NDA #022266)","012","FENTANYL CITRATE","MEDA PHARMS","Labeling Revision","11/07/2013"
"NORVIR (NDA #022417)","010","RITONAVIR","ABBVIE","Labeling Revision","11/07/2013"
"ABSTRAL (NDA #022510)","007","FENTANYL CITRATE","GALENA BIOPHARMA","Efficacy Supplement with Clinical Data to Support","11/07/2013"
"LAZANDA (NDA #022569)","012","FENTANYL CITRATE","DEPOMED INC","Manufacturing Change or Addition","11/07/2013"
"LAZANDA (NDA #022569)","015","FENTANYL CITRATE","DEPOMED INC","Efficacy Supplement with Clinical Data to Support","11/07/2013"
"LAZANDA (NDA #022569)","017","FENTANYL CITRATE","DEPOMED INC","Package Change","11/07/2013"
"JAKAFI (NDA #202192)","004","RUXOLITINIB PHOSPHATE","INCYTE CORP","Manufacturing Change or Addition","11/07/2013"
"SUBSYS (NDA #202788)","010","FENTANYL","INSYS THERAP","Efficacy Supplement with Clinical Data to Support","11/07/2013"
"PREZISTA (NDA #202895)","010","DARUNAVIR ETHANOLATE","JANSSEN PRODS","Labeling Revision","11/07/2013"
"SOLU-CORTEF (NDA #009866)","096","HYDROCORTISONE SODIUM SUCCINATE","PHARMACIA AND UPJOHN","Manufacturing Change or Addition","11/08/2013"
"THAM (NDA #013025)","055","TROMETHAMINE","HOSPIRA","Manufacturing Change or Addition","11/08/2013"
"THAM-E (NDA #013025)","055","POTASSIUM CHLORIDE; SODIUM CHLORIDE; TROMETHAMINE","HOSPIRA","Manufacturing Change or Addition","11/08/2013"
"TEGRETOL (NDA #016608)","108","CARBAMAZEPINE","NOVARTIS","Manufacturing Change or Addition","11/08/2013"
"FREAMINE 8.5% (NDA #016822)","081","AMINO ACIDS","B BRAUN","Manufacturing Change or Addition","11/08/2013"
